proxy_id,proxy,TRY,source,STATUS_CODE,title,summary,date,link,type,ERROR,TIME
1,socks4://178.48.68.61:4145,1,tvrain,,,,,,,"SOCKSHTTPSConnectionPool(host='tvrain.tv', port=443): Max retries exceeded with url: /export/rss/all.xml (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x7f9c4ac9aee0>: Failed to establish a new connection: Connection closed unexpectedly'))",11:44.5
1,socks4://178.48.68.61:4145,1,mediazona,403,,,,,,,11:44.5
1,socks4://178.48.68.61:4145,1,svoboda,200,20,20,20,20,20,,11:44.5
1,socks4://178.48.68.61:4145,1,currenttime,200,20,20,20,20,20,,11:44.5
1,socks4://178.48.68.61:4145,1,meduza,200,30,30,30,30,0,,11:44.5
1,socks4://178.48.68.61:4145,1,thebell,403,,,,,,,11:44.5
1,socks4://178.48.68.61:4145,1,novyagazeta,200,100,100,100,100,100,,11:44.5
1,socks4://178.48.68.61:4145,2,tvrain,403,,,,,,,11:44.5
1,socks4://178.48.68.61:4145,2,mediazona,403,,,,,,,11:44.5
1,socks4://178.48.68.61:4145,2,thebell,403,,,,,,,11:44.5
1,socks4://178.48.68.61:4145,3,tvrain,403,,,,,,,11:44.5
1,socks4://178.48.68.61:4145,3,mediazona,,,,,,,"SOCKSHTTPSConnectionPool(host='zona.media', port=443): Max retries exceeded with url: /rss (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x7f9c4b1ed580>: Failed to establish a new connection: Connection closed unexpectedly'))",11:44.5
1,socks4://178.48.68.61:4145,3,thebell,403,,,,,,,11:44.5
2,socks4://58.75.126.235:4145,1,tvrain,,,,,,,"SOCKSHTTPSConnectionPool(host='tvrain.tv', port=443): Max retries exceeded with url: /export/rss/all.xml (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x7f9c4b1ed1c0>: Failed to establish a new connection: Connection closed unexpectedly'))",11:44.5
2,socks4://58.75.126.235:4145,1,mediazona,,,,,,,"SOCKSHTTPSConnectionPool(host='zona.media', port=443): Max retries exceeded with url: /rss (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x7f9c4ac13070>: Failed to establish a new connection: [Errno 104] Connection reset by peer'))",11:44.5
2,socks4://58.75.126.235:4145,1,thebell,,,,,,,"SOCKSHTTPSConnectionPool(host='thebell.io', port=443): Max retries exceeded with url: /category/news (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x7f9c4ac13940>: Failed to establish a new connection: Connection closed unexpectedly'))",11:44.5
2,socks4://58.75.126.235:4145,2,tvrain,,,,,,,"SOCKSHTTPSConnectionPool(host='tvrain.tv', port=443): Max retries exceeded with url: /export/rss/all.xml (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x7f9c4ac1b760>: Failed to establish a new connection: Connection closed unexpectedly'))",11:44.5
2,socks4://58.75.126.235:4145,2,mediazona,,,,,,,"SOCKSHTTPSConnectionPool(host='zona.media', port=443): Max retries exceeded with url: /rss (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x7f9c4ac13400>: Failed to establish a new connection: Connection closed unexpectedly'))",11:44.5
2,socks4://58.75.126.235:4145,2,thebell,,,,,,,"SOCKSHTTPSConnectionPool(host='thebell.io', port=443): Max retries exceeded with url: /category/news (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x7f9c4b1edb50>: Failed to establish a new connection: [Errno 104] Connection reset by peer'))",11:44.5
2,socks4://58.75.126.235:4145,3,tvrain,,,,,,,"SOCKSHTTPSConnectionPool(host='tvrain.tv', port=443): Max retries exceeded with url: /export/rss/all.xml (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x7f9c4b1ed400>: Failed to establish a new connection: [Errno 104] Connection reset by peer'))",11:44.5
2,socks4://58.75.126.235:4145,3,mediazona,,,,,,,"SOCKSHTTPSConnectionPool(host='zona.media', port=443): Max retries exceeded with url: /rss (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x7f9c4ac1b7f0>: Failed to establish a new connection: Connection closed unexpectedly'))",11:44.5
2,socks4://58.75.126.235:4145,3,thebell,403,,,,,,,11:44.5
1,https://185.20.71.38:443,1,tvrain,,,,,,,"HTTPSConnectionPool(host='tvrain.tv', port=443): Max retries exceeded with url: /export/rss/all.xml (Caused by ProxyError('Cannot connect to proxy.', timeout('_ssl.c:1114: The handshake operation timed out')))",2023-05-28 00:10:58.726409
1,https://185.20.71.38:443,1,mediazona,,,,,,,"HTTPSConnectionPool(host='zona.media', port=443): Max retries exceeded with url: /rss (Caused by ProxyError('Cannot connect to proxy.', timeout('_ssl.c:1114: The handshake operation timed out')))",2023-05-28 00:10:58.726412
1,https://185.20.71.38:443,1,svoboda,,,,,,,"HTTPSConnectionPool(host='www.svoboda.org', port=443): Max retries exceeded with url: /api/ (Caused by ProxyError('Cannot connect to proxy.', timeout('_ssl.c:1114: The handshake operation timed out')))",2023-05-28 00:10:58.726414
1,https://185.20.71.38:443,1,currenttime,,,,,,,"HTTPSConnectionPool(host='www.currenttime.tv', port=443): Max retries exceeded with url: /api/ (Caused by ProxyError('Cannot connect to proxy.', timeout('_ssl.c:1114: The handshake operation timed out')))",2023-05-28 00:10:58.726415
1,https://185.20.71.38:443,1,meduza,,,,,,,"HTTPSConnectionPool(host='meduza.io', port=443): Max retries exceeded with url: /rss/all (Caused by ProxyError('Cannot connect to proxy.', timeout('_ssl.c:1114: The handshake operation timed out')))",2023-05-28 00:10:58.726416
1,https://185.20.71.38:443,1,thebell,,,,,,,"HTTPSConnectionPool(host='thebell.io', port=443): Max retries exceeded with url: /category/news (Caused by ProxyError('Cannot connect to proxy.', timeout('_ssl.c:1114: The handshake operation timed out')))",2023-05-28 00:10:58.726417
1,https://185.20.71.38:443,1,novyagazeta,,,,,,,"HTTPSConnectionPool(host='novayagazeta.eu', port=443): Max retries exceeded with url: /feed/rss (Caused by ProxyError('Cannot connect to proxy.', timeout('_ssl.c:1114: The handshake operation timed out')))",2023-05-28 00:10:58.726418
2,https://8.219.97.248:80,1,tvrain,403,,,,,,,2023-05-28 00:10:58.726419
