source,STATUS_CODE,title,summary,date,link,type,ERROR,TIME
tvrain,,,,,,,"HTTPSConnectionPool(host='tvrain.tv', port=443): Read timed out. (read timeout=20)",2023-05-26 14:05:05.600838
mediazona,,,,,,,"HTTPSConnectionPool(host='zona.media', port=443): Read timed out. (read timeout=20)",2023-05-26 14:05:05.600841
interfax,200,25,25,25,25,25,,2023-05-26 14:05:05.600843
vedomosti,200,200,200,200,200,190,,2023-05-26 14:05:05.600845
aif,200,302,300,302,302,302,,2023-05-26 14:05:05.600848
rg,200,100,100,100,100,0,,2023-05-26 14:05:05.600850
argumenti,200,30,30,30,30,30,,2023-05-26 14:05:05.600852
pravda,200,20,20,20,20,20,,2023-05-26 14:05:05.600855
svoboda,,,,,,,"HTTPSConnectionPool(host='www.svoboda.org', port=443): Read timed out. (read timeout=20)",2023-05-26 14:05:05.600857
currenttime,,,,,,,"HTTPSConnectionPool(host='www.currenttime.tv', port=443): Read timed out. (read timeout=20)",2023-05-26 14:05:05.600860
meduza,,,,,,,"HTTPSConnectionPool(host='meduza.io', port=443): Read timed out. (read timeout=20)",2023-05-26 14:05:05.600862
fontanka,200,30,30,30,30,30,,2023-05-26 14:05:05.600865
rbc,200,30,30,30,30,30,,2023-05-26 14:05:05.600867
thebell,,,,,,,"HTTPSConnectionPool(host='thebell.io', port=443): Read timed out. (read timeout=20)",2023-05-26 14:05:05.600869
novyagazeta,,,,,,,"HTTPSConnectionPool(host='novayagazeta.eu', port=443): Read timed out. (read timeout=20)",2023-05-26 14:05:05.600872
ria,200,99,0,99,99,99,,2023-05-26 16:04:37.622503
tass,200,99,81,99,99,99,,2023-05-26 16:04:37.622508
rosbalt,200,100,100,100,100,100,,2023-05-26 16:04:37.622510
ura,200,170,170,170,170,0,,2023-05-26 16:04:37.622513
mail,200,20,20,20,20,20,,2023-05-26 16:04:37.622515
regnum,200,100,100,100,100,98,,2023-05-26 16:04:37.622518
izvestia,403,,,,,,,2023-05-26 16:04:37.622520
lenta,200,200,200,200,200,200,,2023-05-26 16:04:37.622523
kp,200,200,200,200,200,200,,2023-05-26 16:04:37.622525
tvrain,,,,,,,"HTTPSConnectionPool(host='tvrain.tv', port=443): Read timed out. (read timeout=20)",2023-05-26 16:04:37.622528
mediazona,,,,,,,"HTTPSConnectionPool(host='zona.media', port=443): Read timed out. (read timeout=20)",2023-05-26 16:04:37.622530
interfax,200,25,25,25,25,25,,2023-05-26 16:04:37.622533
vedomosti,200,200,200,200,200,190,,2023-05-26 16:04:37.622535
aif,200,302,302,302,302,302,,2023-05-26 16:04:37.622537
rg,200,100,100,100,100,0,,2023-05-26 16:04:37.622539
argumenti,200,30,30,30,30,30,,2023-05-26 16:04:37.622542
pravda,200,20,20,20,20,20,,2023-05-26 16:04:37.622544
svoboda,,,,,,,"HTTPSConnectionPool(host='www.svoboda.org', port=443): Read timed out. (read timeout=20)",2023-05-26 16:04:37.622547
currenttime,,,,,,,"HTTPSConnectionPool(host='www.currenttime.tv', port=443): Read timed out. (read timeout=20)",2023-05-26 16:04:37.622549
meduza,,,,,,,"HTTPSConnectionPool(host='meduza.io', port=443): Read timed out. (read timeout=20)",2023-05-26 16:04:37.622552
fontanka,200,30,30,30,30,30,,2023-05-26 16:04:37.622554
rbc,200,30,30,30,30,30,,2023-05-26 16:04:37.622556
thebell,,,,,,,"HTTPSConnectionPool(host='thebell.io', port=443): Read timed out. (read timeout=20)",2023-05-26 16:04:37.622559
novyagazeta,,,,,,,"HTTPSConnectionPool(host='novayagazeta.eu', port=443): Read timed out. (read timeout=20)",2023-05-26 16:04:37.622561
ria,200,100,0,100,100,100,,2023-05-26 18:04:59.164913
tass,200,99,94,99,99,99,,2023-05-26 18:04:59.164922
rosbalt,200,100,100,100,100,100,,2023-05-26 18:04:59.164925
ura,200,170,170,170,170,0,,2023-05-26 18:04:59.164927
mail,200,20,20,20,20,20,,2023-05-26 18:04:59.164929
regnum,200,100,100,100,100,96,,2023-05-26 18:04:59.164932
izvestia,403,,,,,,,2023-05-26 18:04:59.164934
lenta,200,200,200,200,200,200,,2023-05-26 18:04:59.164936
kp,200,200,200,200,200,200,,2023-05-26 18:04:59.164938
tvrain,,,,,,,"HTTPSConnectionPool(host='tvrain.tv', port=443): Read timed out. (read timeout=20)",2023-05-26 18:04:59.164940
mediazona,,,,,,,"HTTPSConnectionPool(host='zona.media', port=443): Read timed out. (read timeout=20)",2023-05-26 18:04:59.164942
interfax,200,25,25,25,25,25,,2023-05-26 18:04:59.164944
vedomosti,200,200,200,200,200,190,,2023-05-26 18:04:59.164947
aif,200,299,299,299,299,299,,2023-05-26 18:04:59.164949
rg,200,100,100,100,100,0,,2023-05-26 18:04:59.164951
argumenti,200,30,30,30,30,30,,2023-05-26 18:04:59.164953
pravda,200,20,20,20,20,20,,2023-05-26 18:04:59.164955
svoboda,,,,,,,"HTTPSConnectionPool(host='www.svoboda.org', port=443): Read timed out. (read timeout=20)",2023-05-26 18:04:59.164957
currenttime,,,,,,,"HTTPSConnectionPool(host='www.currenttime.tv', port=443): Read timed out. (read timeout=20)",2023-05-26 18:04:59.164960
meduza,,,,,,,"HTTPSConnectionPool(host='meduza.io', port=443): Read timed out. (read timeout=20)",2023-05-26 18:04:59.164962
fontanka,200,30,30,30,30,30,,2023-05-26 18:04:59.164964
rbc,200,30,30,30,30,30,,2023-05-26 18:04:59.164966
thebell,,,,,,,"HTTPSConnectionPool(host='thebell.io', port=443): Read timed out. (read timeout=20)",2023-05-26 18:04:59.164968
novyagazeta,,,,,,,"HTTPSConnectionPool(host='novayagazeta.eu', port=443): Read timed out. (read timeout=20)",2023-05-26 18:04:59.164970
ria,200,100,0,100,100,100,,2023-05-26 20:02:02.999455
tass,200,100,91,100,100,100,,2023-05-26 20:02:02.999459
rosbalt,200,100,100,100,100,100,,2023-05-26 20:02:02.999462
ura,200,170,170,170,170,0,,2023-05-26 20:02:02.999465
mail,200,20,20,20,20,20,,2023-05-26 20:02:02.999468
regnum,200,100,100,100,100,96,,2023-05-26 20:02:02.999472
izvestia,403,,,,,,,2023-05-26 20:02:02.999474
lenta,200,200,200,200,200,200,,2023-05-26 20:02:02.999477
kp,200,200,200,200,200,200,,2023-05-26 20:02:02.999480
interfax,200,25,25,25,25,25,,2023-05-26 20:02:02.999483
vedomosti,200,200,200,200,200,190,,2023-05-26 20:02:02.999486
aif,,,,,,,"HTTPSConnectionPool(host='aif.ru', port=443): Read timed out. (read timeout=20)",2023-05-26 20:02:02.999489
rg,200,100,100,100,100,0,,2023-05-26 20:02:02.999491
argumenti,200,30,30,30,30,30,,2023-05-26 20:02:02.999494
pravda,200,20,20,20,20,20,,2023-05-26 20:02:02.999497
fontanka,200,30,30,30,30,30,,2023-05-26 20:02:02.999500
rbc,200,30,30,30,30,30,,2023-05-26 20:02:02.999502
aif,200,301,301,301,301,301,,2023-05-26 20:12:25.500539
ria,200,100,0,100,100,100,,2023-05-26 22:01:53.893856
tass,200,100,96,100,100,100,,2023-05-26 22:01:53.893860
rosbalt,200,100,100,100,100,100,,2023-05-26 22:01:53.893863
ura,200,170,170,170,170,0,,2023-05-26 22:01:53.893866
mail,200,20,20,20,20,20,,2023-05-26 22:01:53.893868
regnum,200,100,100,100,100,96,,2023-05-26 22:01:53.893871
izvestia,403,,,,,,,2023-05-26 22:01:53.893873
lenta,200,200,200,200,200,200,,2023-05-26 22:01:53.893876
kp,200,200,200,200,200,200,,2023-05-26 22:01:53.893878
interfax,200,25,25,25,25,25,,2023-05-26 22:01:53.893881
vedomosti,200,200,200,200,200,190,,2023-05-26 22:01:53.893883
aif,200,303,303,303,303,303,,2023-05-26 22:01:53.893885
rg,200,100,100,100,100,0,,2023-05-26 22:01:53.893888
argumenti,200,30,30,30,30,30,,2023-05-26 22:01:53.893890
pravda,200,20,20,20,20,20,,2023-05-26 22:01:53.893892
fontanka,200,30,30,30,30,30,,2023-05-26 22:01:53.893895
rbc,200,30,30,30,30,30,,2023-05-26 22:01:53.893897
