source,STATUS_CODE,title,summary,date,link,type,ERROR,TIME
pravda,200,20,20,20,20,20,,2023-05-24 14:34:15.963114
svoboda,,,,,,,"HTTPSConnectionPool(host='www.svoboda.org', port=443): Read timed out. (read timeout=5)",2023-05-24 14:34:15.963117
currenttime,,,,,,,"HTTPSConnectionPool(host='www.currenttime.tv', port=443): Read timed out. (read timeout=5)",2023-05-24 14:34:15.963119
meduza,,,,,,,"HTTPSConnectionPool(host='meduza.io', port=443): Read timed out. (read timeout=5)",2023-05-24 14:34:15.963122
fontanka,200,30,30,30,30,30,,2023-05-24 14:34:15.963125
rbc,200,30,30,30,30,30,,2023-05-24 14:34:15.963127
ria,200,100,0,100,100,100,,2023-05-24 16:01:12.651739
tass,200,99,93,99,99,99,,2023-05-24 16:01:12.651741
rosbalt,200,100,100,100,100,100,,2023-05-24 16:01:12.651743
ura,200,170,170,170,170,0,,2023-05-24 16:01:12.651744
mail,200,20,20,20,20,20,,2023-05-24 16:01:12.651746
regnum,200,100,100,100,100,100,,2023-05-24 16:01:12.651747
izvestia,403,,,,,,,2023-05-24 16:01:12.651748
lenta,200,200,200,200,200,200,,2023-05-24 16:01:12.651750
kp,200,200,200,200,200,200,,2023-05-24 16:01:12.651751
tvrain,,,,,,,"HTTPSConnectionPool(host='tvrain.tv', port=443): Read timed out. (read timeout=5)",2023-05-24 16:01:12.651753
mediazona,,,,,,,"HTTPSConnectionPool(host='zona.media', port=443): Read timed out. (read timeout=5)",2023-05-24 16:01:12.651754
interfax,200,25,25,25,25,25,,2023-05-24 16:01:12.651755
vedomosti,200,200,200,200,200,188,,2023-05-24 16:01:12.651757
aif,200,282,282,282,282,282,,2023-05-24 16:01:12.651758
rg,200,100,100,100,100,0,,2023-05-24 16:01:12.651759
argumenti,200,30,30,30,30,30,,2023-05-24 16:01:12.651761
pravda,200,20,20,20,20,20,,2023-05-24 16:01:12.651762
svoboda,,,,,,,"HTTPSConnectionPool(host='www.svoboda.org', port=443): Read timed out. (read timeout=5)",2023-05-24 16:01:12.651763
currenttime,,,,,,,"HTTPSConnectionPool(host='www.currenttime.tv', port=443): Read timed out. (read timeout=5)",2023-05-24 16:01:12.651765
meduza,,,,,,,"HTTPSConnectionPool(host='meduza.io', port=443): Read timed out. (read timeout=5)",2023-05-24 16:01:12.651766
fontanka,200,30,30,30,30,30,,2023-05-24 16:01:12.651767
rbc,200,30,30,30,30,30,,2023-05-24 16:01:12.651769
ria,200,100,0,100,100,100,,2023-05-24 18:34:58.532876
tass,200,98,87,98,98,98,,2023-05-24 18:34:58.532882
rosbalt,200,100,100,100,100,100,,2023-05-24 18:34:58.532884
ura,200,170,170,170,170,0,,2023-05-24 18:34:58.532887
mail,200,20,20,20,20,20,,2023-05-24 18:34:58.532890
regnum,200,100,100,100,100,100,,2023-05-24 18:34:58.532893
izvestia,403,,,,,,,2023-05-24 18:34:58.532896
lenta,200,200,200,200,200,200,,2023-05-24 18:34:58.532899
kp,200,200,200,200,200,200,,2023-05-24 18:34:58.532901
tvrain,,,,,,,"HTTPSConnectionPool(host='tvrain.tv', port=443): Read timed out. (read timeout=5)",2023-05-24 18:34:58.532904
mediazona,,,,,,,"HTTPSConnectionPool(host='zona.media', port=443): Read timed out. (read timeout=5)",2023-05-24 18:34:58.532907
interfax,200,25,25,25,25,25,,2023-05-24 18:34:58.532909
vedomosti,200,200,200,200,200,187,,2023-05-24 18:34:58.532912
aif,200,286,286,286,286,286,,2023-05-24 18:34:58.532915
rg,200,100,100,100,100,0,,2023-05-24 18:34:58.532917
argumenti,200,30,30,30,30,30,,2023-05-24 18:34:58.532920
pravda,200,20,20,20,20,20,,2023-05-24 18:34:58.532923
svoboda,,,,,,,"HTTPSConnectionPool(host='www.svoboda.org', port=443): Read timed out. (read timeout=5)",2023-05-24 18:34:58.532926
currenttime,,,,,,,"HTTPSConnectionPool(host='www.currenttime.tv', port=443): Read timed out. (read timeout=5)",2023-05-24 18:34:58.532929
meduza,,,,,,,"HTTPSConnectionPool(host='meduza.io', port=443): Read timed out. (read timeout=5)",2023-05-24 18:34:58.532932
fontanka,200,30,30,30,30,30,,2023-05-24 18:34:58.532934
rbc,200,30,30,30,30,30,,2023-05-24 18:34:58.532937
ria,200,100,0,100,100,100,,2023-05-24 20:01:21.745541
tass,200,99,98,99,99,99,,2023-05-24 20:01:21.745546
rosbalt,200,100,100,100,100,100,,2023-05-24 20:01:21.745549
ura,200,170,170,170,170,0,,2023-05-24 20:01:21.745551
