title,summary,date,link,type,source,date_parsed
МЧС Курской области опровергло фейк о срочных командировках,,2023-5-23,https://ria.ru/20230523/feyk-1873727250.html,Лента новостей,ria,2023-05-23 23:53:38.157028
В ООН отреагировали на диверсию в Белгородской области,,2023-5-23,https://ria.ru/20230523/oon-1873727073.html,Лента новостей,ria,2023-05-23 23:53:38.157029
Адвокат ожидающего суда в США Клюшина рассказал о его самочувствии,,2023-5-23,https://ria.ru/20230523/klyushin-1873724969.html,Лента новостей,ria,2023-05-23 23:53:38.157031
Калининградские астрономы засняли ярчайшую вспышку сверхновой,,2023-5-23,https://ria.ru/20230523/astronomy-1873724804.html,Лента новостей,ria,2023-05-23 23:53:38.157032
Украинские войска выпустили по Донецку семь ракет из РСЗО,,2023-5-23,https://ria.ru/20230523/obstrel-1873723952.html,Лента новостей,ria,2023-05-23 23:53:38.157033
Cathay Pacific уволила бортпроводников за дискриминацию пассажиров,,2023-5-23,https://ria.ru/20230523/diskriminatsiya-1873723341.html,Лента новостей,ria,2023-05-23 23:53:38.157034
Поддержавшую Украину Светлану Лободу не приняли в Киеве,,2023-5-23,https://ria.ru/20230523/loboda-1873711912.html,Лента новостей,ria,2023-05-23 23:53:38.157035
Зорькин рассказал о количестве обращений в Конституционный суд,,2023-5-23,https://ria.ru/20230523/sud-1873721293.html,Лента новостей,ria,2023-05-23 23:53:38.157036
"Путин заявил, что Украины не существовало до создания УССР",,2023-5-23,https://ria.ru/20230523/ukraina-1873720595.html,Лента новостей,ria,2023-05-23 23:53:38.157037
Пушилин водрузил флаг ДНР над Артемовском,,2023-5-23,https://ria.ru/20230523/artemovsk-1873719926.html,Лента новостей,ria,2023-05-23 23:53:38.157038
Историк рассказал о боях Красной Армии с солдатами нынешних стран НАТО,,2023-5-23,https://ria.ru/20230523/nato-1873719731.html,Лента новостей,ria,2023-05-23 23:53:38.157040
Правительство поддержало увеличение штрафов за передачу телефонов в тюрьмы,,2023-5-23,https://ria.ru/20230523/svyaz-1873719324.html,Лента новостей,ria,2023-05-23 23:53:38.157041
На Украине призвали убрать русский язык из внутренних паспортов,,2023-5-23,https://ria.ru/20230523/pasport-1873719201.html,Лента новостей,ria,2023-05-23 23:53:38.157042
"Мэр Уфы попросил спасателей найти лосей, пугающих жителей города",,2023-5-23,https://ria.ru/20230523/losi-1873719065.html,Лента новостей,ria,2023-05-23 23:53:38.157043
"В ДНР рассказали о состоянии школьницы, раненной снарядом ВСУ",,2023-5-23,https://ria.ru/20230523/obstrel-1873718634.html,Лента новостей,ria,2023-05-23 23:53:38.157044
Мирный житель погиб после нападения украинской ДРГ в Белгородской области,,2023-5-23,https://ria.ru/20230523/pogibshiy-1873717816.html,Лента новостей,ria,2023-05-23 23:53:38.157045
Посольство России прокомментировало заход американского авианосца в Осло,,2023-5-23,https://ria.ru/20230523/oslo-1873717558.html,Лента новостей,ria,2023-05-23 23:53:38.157046
